1.6342857e+01_C   2.1100000e+02_C
 -0.0555441   37.7342657
  0.0873129   37.7342657
  0.0873129   37.7342657
  0.0873129   37.7342657
  0.0873129   37.7342657
  0.2301699   37.7342657
  0.2301699   37.7342657
  0.2301699   37.7342657
 -0.1984021  -38.2657343
  0.2301699  -38.2657343
  0.2301699  -38.2657343
  0.0873129  -38.2657343
  0.0873129   37.7342657
 -0.3412591   37.7342657
  0.0873129  -38.2657343
  0.0873129  -38.2657343
 -0.3412591  -38.2657343
  0.0873129  -38.2657343
 -0.0555441   37.7342657
 -0.3412591   37.7342657
 -0.3412591  -38.2657343
  0.0873129  -38.2657343
 -0.0555441   37.7342657
  0.0873129   37.7342657
  0.0873129  -38.2657343
  0.0873129  -38.2657343
 -0.0555441   37.7342657
 -0.3412591   37.7342657
  0.0873129   37.7342657
  0.0873129   37.7342657
  0.0873129   37.7342657
  0.2301699   37.7342657
  0.2301699  -38.2657343
  0.0873129  -38.2657343
  0.0873129   37.7342657
  0.0873129   37.7342657
  0.2301699   37.7342657
  0.2301699   37.7342657
  0.2301699  -38.2657343
  0.2301699  -38.2657343
  0.0873129   37.7342657
  0.2301699   37.7342657
  0.2301699  -38.2657343
  0.2301699  -38.2657343
  0.0873129  -38.2657343
  0.0873129  -38.2657343
  0.0873129  -38.2657343
 -0.0555441  -38.2657343
 -0.0555441  -38.2657343
 -0.0555441  -38.2657343
 -0.0555441   37.7342657
 -0.0555441   37.7342657
 -0.0555441   37.7342657
  0.0873129   37.7342657
  0.0873129  -38.2657343
 -0.0555441  -38.2657343
 -0.0555441   37.7342657
  0.0873129   37.7342657
  0.0873129  -38.2657343
  0.0873129  -38.2657343
 -0.0555441  -38.2657343
 -0.0555441  -38.2657343
 -0.0555441   37.7342657
 -0.0555441   37.7342657
 -0.0555441   37.7342657
  0.0873129   37.7342657
  0.0873129   37.7342657
  0.0873129   37.7342657
  0.0873129  -38.2657343
  0.0873129  -38.2657343
  0.0873129   37.7342657
  0.0873129   37.7342657
  0.0873129   37.7342657
  0.2301699   37.7342657
  0.2301699   37.7342657
  0.2301699   37.7342657
  0.2301699  -38.2657343
  0.2301699  -38.2657343
  0.2301699  -38.2657343
  0.0873129  -38.2657343
  0.0873129   37.7342657
  0.0873129   37.7342657
  0.2301699   37.7342657
  0.2301699   37.7342657
  0.2301699  -38.2657343
  0.2301699  -38.2657343
  0.0873129  -38.2657343
  0.0873129  -38.2657343
  0.0873129   37.7342657
  0.0873129   37.7342657
  0.0873129   37.7342657
  0.2301699   37.7342657
  0.2301699   37.7342657
  0.2301699   37.7342657
  0.2301699  -38.2657343
  0.2301699  -38.2657343
  0.2301699  -38.2657343
  0.0873129  -38.2657343
  0.0873129  -38.2657343
  0.0873129  -38.2657343
 -0.0555441   37.7342657
  0.0873129   37.7342657
  0.0873129   37.7342657
  0.0873129   37.7342657
  0.0873129   37.7342657
  0.2301699   37.7342657
  0.2301699   37.7342657
 -0.1984021   37.7342657
  0.2301699  -38.2657343
  0.2301699  -38.2657343
  0.2301699  -38.2657343
  0.0873129  -38.2657343
  0.0873129   37.7342657
  0.0873129   37.7342657
  0.2301699   37.7342657
  0.2301699   37.7342657
  0.2301699   37.7342657
  0.3730269   37.7342657
  0.2301699   37.7342657
  0.3730269   37.7342657
 -0.0555441   37.7342657
  0.3730269   37.7342657
  0.3730269  -38.2657343
  0.3730269  -38.2657343
  0.2301699  -38.2657343
  0.2301699  -38.2657343
  0.2301699  -38.2657343
 -0.3412591  -38.2657343
  0.0873129   37.7342657
